Date,Price,CVol,Return,Open,High,Low,Spread,Diff,5ma,10ma,5std
11/22/19,261.78,16331260,-0.09,262.59,263.18,260.84,0.008938804,0.002213656,-0.299865447,0.06551803,0.60426368
11/21/19,262.01,30348780,-0.45,263.69,264.01,261.18,0.010782031,0.001899768,-0.04471937,0.101664911,0.908795543
11/20/19,263.19,26609920,-1.16,265.54,266.08,260.40,0.021592766,-0.002816478,-0.093439519,0.261567319,0.941774736
11/19/19,266.29,19069600,-0.30,267.90,268.00,265.39,0.009791581,0.002995133,0.331023924,0.38225878,0.8072155
11/18/19,267.10,21700900,0.50,265.80,267.43,264.23,0.011980532,0.000150512,0.373365558,0.398215521,0.770338026
11/15/19,265.76,25093670,1.19,263.68,265.78,263.01,0.010422938,0.003959793,0.430901508,0.413466312,0.792964038
11/14/19,262.64,22395560,-0.69,263.75,264.88,262.10,0.010584831,-0.002722426,0.248049193,0.578480499,0.670745771
11/13/19,264.47,25817590,0.96,261.13,264.78,261.07,0.014028056,-0.003168423,0.616574158,0.873770064,0.512759082
11/12/19,261.96,21847230,-0.09,261.55,262.79,260.92,0.007138494,-0.002479024,0.433493635,0.776720173,0.523607309
11/11/19,262.20,20507460,0.79,258.30,262.47,258.28,0.015980168,-0.007073114,0.423065485,0.554594808,0.537025289
11/08/19,260.14,17520500,0.27,258.69,260.44,256.85,0.013800261,-0.002852407,0.396031117,0.575577365,0.516840133
11/07/19,259.43,23735080,1.15,258.74,260.35,258.11,0.008634314,0.00583113,0.908911805,0.671371687,1.193934503
11/06/19,257.24,18966120,0.04,256.77,257.49,255.37,0.008260768,-0.00140007,1.130965971,0.572753942,1.343961337
11/05/19,257.13,19974430,-0.14,257.05,258.19,256.32,0.007272586,-0.001747573,1.11994671,0.702665197,1.355292223
11/04/19,257.50,25817950,0.66,257.33,257.85,255.38,0.009572816,0.005902588,0.686124131,0.694165141,2.036738114
11/01/19,255.82,37781330,2.84,249.54,255.93,249.16,0.02646392,0.003135552,0.755123612,0.801922193,2.041331113
10/31/19,248.76,34790520,2.26,247.24,249.17,237.26,0.047877472,0.016361095,0.433831569,0.566141643,1.734957779
10/30/19,243.26,31130520,-0.01,244.76,245.30,241.21,0.016813286,0.006042172,0.014541913,0.378874573,1.404945049
10/29/19,243.29,35709870,-2.31,248.97,249.75,242.57,0.029512105,-0.000321221,0.285383684,0.33973584,1.523959882
10/28/19,249.05,24143240,1.00,247.42,249.25,246.72,0.010158603,0.003406602,0.702206151,0.547698323,0.695494191
10/25/19,246.58,18369300,1.23,243.16,246.73,242.88,0.015613594,-0.001724279,0.848720774,0.433132446,0.837106777
10/24/19,243.58,17916260,0.16,244.51,244.80,241.81,0.012295755,0.0054692,0.698451716,0.575953545,0.818416296
10/23/19,243.18,19932550,1.34,242.10,243.24,241.22,0.008306604,0.008918153,0.743207232,0.694287145,0.787449815
10/22/19,239.96,22684000,-0.23,241.16,242.20,239.62,0.010744291,0.00270259,0.394087996,0.677301034,0.84081896
10/21/19,240.51,22367480,1.73,237.52,240.99,237.32,0.015259241,0.004695233,0.393190495,0.583019648,0.841651881
10/18/19,236.41,24377170,0.48,234.59,237.58,234.29,0.013916501,-0.002932676,0.017544117,0.411793443,0.393053204
10/17/19,235.28,17272900,0.39,235.09,236.15,233.52,0.011178171,0.003072066,0.453455374,0.644084182,1.268409467
